# Monoisotopic molecular weights of amino acids
# Also classified as:
#  Tiny, Small, Aliphatic, Aromatic, Non-polar, Polar, Charge, +ve, -ve
#
A 	 71.0371	 1 1 0 0 1 0 0   0 0
B 	114.5349	 0 1 0 0 0 0 -.5 0 1
C 	103.0092	 1 1 0 0 1 0 0   0 0
D 	115.0269	 0 1 0 0 0 1 -1  0 1
E 	129.0426	 0 0 0 0 0 1 -1  0 1
F 	147.0684	 0 0 0 1 1 0 0   0 0
G 	 57.0215	 1 1 0 0 1 0 0   0 0
H 	137.0589	 0 0 0 1 0 1 .5  1 0
I 	113.0841	 0 0 1 0 1 0 0   0 0
J	  0.0		 0 0 0 0 0 0 0   0 0
K	128.0950	 0 0 0 0 0 1 1   1 0
L 	113.0841	 0 0 1 0 1 0 0   0 0
# If met gets oxidised to the sulphoxide replace by 147.1926
M 	131.0405	 0 0 0 0 1 0 0   0 0
N 	114.0429	 0 1 0 0 0 1 0   0 0
O	  0.0		 0 0 0 0 0 0 0   0 0
P 	 97.0528	 0 1 0 0 1 0 0   0 0
Q	128.0586	 0 0 0 0 0 1 0   0 0
R 	156.1011	 0 0 0 0 0 1 1   1 0
S	 87.0320	 1 1 0 0 0 1 0   0 0
T	101.0477	 1 1 0 0 0 1 0   0 0
U	  0.0		 0 0 0 0 0 0 0   0 0
V	 99.0684	 0 1 1 0 1 0 0   0 0
W	186.0793	 0 0 0 1 1 0 0   0 0
X	144.0000	 0 0 0 0 0 0 0   0 0
Y	163.0633	 0 0 0 1 1 0 0   0 0
Z 	128.5506	 0 0 0 0 0 1 -.5 0 1
